time(s),distance(cm)
0.002,17.37
0.054,17.49
0.107,17.63
0.159,17.58
0.211,17.58
0.263,17.58
0.315,17.24
0.367,17.99
0.419,18.09
0.471,19.00
0.524,20.27
0.576,22.45
0.629,24.37
0.682,26.19
0.736,28.81
0.789,31.50
0.843,34.42
0.896,36.72
0.949,40.56
1.003,43.12
1.058,46.92
1.112,51.00
1.167,54.50
1.221,58.28
1.276,60.00
1.332,60.00
1.387,60.00
1.443,60.00
1.500,60.00
1.556,60.00
1.612,60.00
1.668,60.00
1.725,60.00
1.783,60.00
1.840,60.00
1.897,60.00
1.953,60.00
2.010,60.00
2.068,60.00
2.125,60.00
2.182,60.00
2.239,60.00
2.296,60.00
2.353,60.00
2.411,60.00
2.468,60.00
2.525,60.00
2.582,60.00
2.640,60.00
2.697,60.00
2.754,60.00
2.811,60.00
2.868,60.00
2.926,60.00
2.983,60.00
3.040,60.00
3.097,60.00
3.155,60.00
3.212,60.00
3.269,60.00
3.326,60.00
3.383,60.00
3.440,60.00
3.498,60.00
3.555,60.00
3.612,60.00
3.669,60.00
3.727,60.00
3.784,60.00
3.841,60.00
3.898,60.00
3.955,60.00
4.012,60.00
4.069,60.00
4.126,60.00
4.183,60.00
4.241,60.00
4.298,60.00
4.355,60.00
4.412,60.00
4.469,60.00
4.526,60.00
4.583,60.00
4.640,60.00
4.697,60.00
4.755,60.00
4.811,60.00
4.868,60.00
4.925,60.00
4.983,60.00
